"row.names" "Original.Reads" "Filtered.Reads" "Denoised.Reads" "tabled" "Non.chimeric.Reads" "forward.trim"
"206" "276.205" 19110 19109 19030 19030 18757 "70"
"207" "276.206" 14088 14086 13940 13940 13290 "70"
"208" "276.207" 16156 16155 16070 16070 15580 "70"
"209" "276.208" 15836 15835 15777 15777 15469 "70"
"210" "276.209" 39463 39456 39236 39236 37904 "70"
"211" "276.013" 47303 47302 46855 46855 44894 "80"
"212" "276.014" 70332 70329 69747 69747 65635 "80"
"213" "276.015" 79524 79521 78994 78994 74558 "80"
"214" "276.016" 97218 97211 96573 96573 91509 "80"
"215" "276.017" 67351 67343 66811 66811 64081 "80"
"216" "276.049" 27095 27094 26892 26892 26435 "80"
"217" "276.050" 41699 41699 41613 41613 40499 "80"
"218" "276.051" 93721 93717 93327 93327 86636 "80"
"219" "276.052" 20294 20293 20189 20189 20067 "80"
"220" "276.053" 53914 53912 53849 53849 51059 "80"
"221" "276.205" 19110 19109 18951 18951 18612 "80"
"222" "276.206" 14088 14086 13899 13899 13416 "80"
"223" "276.207" 16156 16155 16034 16034 15648 "80"
"224" "276.208" 15836 15835 15683 15683 15549 "80"
"225" "276.209" 39463 39456 39152 39152 37943 "80"
"226" "276.013" 47303 47302 46836 46836 45037 "90"
"227" "276.014" 70332 70326 69672 69672 66149 "90"
"228" "276.015" 79524 79519 79086 79086 75414 "90"
"229" "276.016" 97218 97209 96504 96504 92395 "90"
"230" "276.017" 67351 67342 66668 66668 64115 "90"
"231" "276.049" 27095 27094 27064 27064 25865 "90"
"232" "276.050" 41699 41697 41568 41568 40440 "90"
"233" "276.051" 93721 93714 93481 93481 87491 "90"
"234" "276.052" 20294 20291 20189 20189 19985 "90"
"235" "276.053" 53914 53910 53740 53740 51643 "90"
"236" "276.205" 19110 19109 18969 18969 18708 "90"
"237" "276.206" 14088 14086 13971 13971 13458 "90"
"238" "276.207" 16156 16155 15995 15995 15654 "90"
"239" "276.208" 15836 15834 15686 15686 15544 "90"
"240" "276.209" 39463 39454 39191 39191 37843 "90"
